0.3,840,15,Cash
1.01,480,8,Credit Card
0.4,180,4.5,Cash
2.3,420,8.75,Cash
17.1,1200,44,Cash
0.1,900,11.75,Cash
2,480,11.5,Credit Card
3.9,960,15.75,Credit Card
0.9,360,9.25,Credit Card
0,240,7.25,Credit Card
1.6,360,9,Credit Card
0,180,6,Credit Card
1.7,720,11,Cash
3.6,660,15.25,Credit Card
0,0,7.2,Credit Card
0,1380,26.25,Cash
2.6,600,10,Cash
0.2,780,12.75,Cash
0.2,840,12.5,Cash
2.4,1260,14.75,Credit Card
0,0,9.69,Credit Card
1.9,780,12,Credit Card
1.9,720,11.25,Credit Card
2.9,660,10.5,Cash
0,0,3.25,Cash
3.9,900,14.5,Cash
1.5,420,9,Credit Card
0,120,5.75,Credit Card
0.7,300,7.5,Credit Card
0.2,1260,13.75,Cash
2.7,480,9.5,Cash
0,0,3.25,Cash
1.4,420,9,Credit Card
3.9,1380,16.5,Credit Card
2.4,480,9.25,Cash
0.2,120,4.25,Cash
1.1,480,6.75,Cash
0.96,540,6.75,Cash
1,300,8.75,Credit Card
0,0,8.4,Credit Card
13.8,1800,45.5,Credit Card
3.1,660,13.25,Credit Card
0.7,240,6,Credit Card
0,0,6.6,Credit Card
1.4,420,9,Credit Card
0,360,7.5,Credit Card
1.8,480,7.75,Cash
0,180,6,Credit Card
1.8,540,9.25,Cash
1,360,6,Cash
4.7,720,14.25,Cash
3.9,480,31.5,Credit Card
0,0,19.75,Credit Card
0.3,180,4.25,No Charge
0.9,240,5.5,Cash
5.7,900,17.25,Cash
0,240,9.25,Credit Card
0,420,6.75,Cash
0.4,120,5.25,Cash
14.6,1980,50.7,Credit Card
0.1,60,3.5,Cash
0.7,120,4.75,Cash
0.8,300,8.25,Credit Card
1,420,8.65,Credit Card
5.2,600,17.5,Cash
0,900,9,Cash
1.3,840,10,Cash
3.3,900,15.9,Credit Card
0.9,360,5.75,Cash
0.2,780,13.5,Credit Card
0,360,6,Cash
0.5,120,4.5,Cash
0.9,240,8.5,Credit Card
16.3,1500,48.6,Credit Card
0.4,240,4.75,Cash
13.5,1440,59.25,Credit Card
1.5,780,11,Credit Card
0,0,15.5,Credit Card
0.31,180,4.25,Cash
3.9,600,14.75,Credit Card
0,0,6.25,Credit Card
1.1,1500,45,Cash
0.4,240,7.75,Credit Card
3.4,1020,14.25,Cash
1.2,780,8.5,Cash
1,1620,51.9,Credit Card
0.6,60,3.45,Cash
0.1,540,9.5,Cash
1,600,7.5,Cash
0,300,7.25,Cash
1,240,5.5,Cash
6.6,900,19.5,Cash
18.1,2400,65.5,Credit Card
